course_id_new	original_pid	name
1	1769	the-lean-startup-debunking-myths-of-entrepreneurship
2	8075	how-to-create-awesome-demo-videos
3	8082	learn-ruby-programming-in-ten-easy-steps
4	8324	beginning-javascript
5	8332	ccna-boot-camp
6	8420	ccnp-route-on-demand-video-boot-camp
7	8467	the-lean-startup
8	8776	ccnp-tshoot-instant-boot-camp
9	8814	creating-responsive-web-design
10	9287	excel-tutorial
11	9385	advanced-excel
12	9463	learn-to-program-with-java
13	9711	php-mysql-tutorial
14	10321	learn-c
15	10449	spanish-101-beginning-spanish-spanish-for-beginners
16	10681	expert-ruby-programming-ten-steps-to-mastery
17	10812	ccna-on-demand-video-boot-camp
18	11152	c-sharp-for-beginners
19	11153	jquery
20	11174	how-to-become-a-web-developer-from-scratch
21	11197	phpmysql-for-beginners
22	11331	whiteboard-seo
23	11418	listening-skills-for-esl
24	11475	become-a-certified-web-developer
25	12137	economics-of-energy-and-the-environment
26	12196	search-engine-optimization-made-easy
27	12226	learn-c-game-development
28	12248	how-to-become-a-copywriter-from-home
29	12318	learning-python-not-the-snake
30	12855	building-custom-wordpress-sites-from-scratch
31	12865	java-essentials-for-android
32	12892	brazil-for-beginners
33	12943	elixir-a-history-of-water-and-humans
34	12975	learning-to-program-in-java-a-supplement-for-online-academic-learners
35	12999	perspectives-on-contemporary-american-democracy
36	13019	foundations-of-business-strategy
37	13034	operations-management
38	13391	the-neuroscience-of-reframing-and-how-to-do-it
39	14178	how-to-put-a-wordpress-website-live
40	14346	learn-c-sharp-programming-in-ten-easy-steps
41	15036	ccnasecuritypreview
42	15044	lean-startup-sxsw-2012-videos-and-presentations
43	15215	create-a-killer-personal-brand-sales-success-webinar-series
44	15267	aquaponic-gardening
45	15285	html-workshop
46	15305	financialanalysis
47	15392	great-photography-tips-photo-tutorials
48	15576	introduction-to-facebook-for-businesses-and-organizations
49	15611	how-to-draw-the-human-figure-10-hours
50	15620	photoshop-cs6-crash-course
51	15794	how-to-create-an-awesome-online-course
52	15892	the-shoemoney-system
53	15943	ecommerce-website
54	16151	ajax-development
55	16167	learning-mysql5
56	16170	math-is-everywhere-applications-of-finite-math
57	16429	ccnpallinone
58	16636	everything-about-php-for-beginner
59	16646	web-programming-with-python
60	16799	photoshoptraining
61	16823	the-7-essential-steps-to-getting-your-dream-career
62	16868	eli-the-computer-guy-collection
63	17029	the-black-arts-of-persuasion-for-startups
64	17279	photoshop-tools-in-10-easy-steps
65	17349	figure-drawing-from-life-using-the-reilly-technique
66	17399	learning-microsoft-access-2010
67	17441	introduction-to-foursquare-for-business
68	17503	cpp-short-and-sweet
69	17615	beginners-guide-to-postgresql
70	17648	oil-acrylic-painting-techniques-and-color-theory
71	17708	everyday-mind-mastery
72	18212	excel-pivot-table
73	18237	java-swing-complete
74	18438	learning-adobe-photoshop-cs6
75	18448	learning-css3
76	18573	bgpccnpmastery
77	18617	learn-salesforce-in-easy-steps-and-get-certified
78	18854	create-a-html5-game-from-scratch
79	19112	art-history-survey-prehistory-to-1300
80	19262	pandora-internet-radio-customized-music
81	19332	thecompletewebdeveloper
82	19419	easydslr-for-beginners
83	19422	drupal-for-beginners
84	19450	subnetting-secrets-learn-the-easy-way-to-subnet
85	19603	learning-dynamic-website-design
86	19613	lookatphysics
87	19645	market-your-message-ignite-curiosity-inspire-action
88	19729	easydslr-advanced
89	19788	how-to-program-ios7-iphone-apps-from-scratch-in-objective-c
90	20365	sap-abap-programming-for-beginners
91	20366	iosdevelopment
92	20461	how-to-design-a-logo-a-beginners-course
93	20600	create-a-gorgeous-photography-site-with-smugmug-in-90-mins
94	20611	learning-visual-basic-for-microsoft-excel
95	20743	who-me-give-a-presentation-become-a-powerspeaker
96	20762	learning-visual-basic-for-access
97	20869	search-engine-optimization-for-business
