course_id_new	original_course_index	name	type
1	0	中国建筑史（上）	艺术·设计 历史
2	1	外国工艺美术史	艺术·设计
3	2	心理学概论	社科·法律
4	3	经济学原理	经管·会计
5	4	公司金融	经管·会计
6	5	创业102：你能为客户做什么？	创业 经管·会计
7	6	e时代的教与学――MOOC引发的混合式教学	教育
8	7	党的十九大精神概论	社科·法律
9	8	e时代的大佬师——慕课教师的修炼心法	教育
10	9	大学物理近代物理	物理
11	10	计算机科学和Python编程导论	计算机
12	11	自动控制理论	工程
13	12	大学国文（下）	文学
14	13	计算几何	计算机
15	14	C++语言程序设计基础	计算机
16	15	生活英语听说	外语
17	16	日语与日本文化	外语
18	17	数据结构（上）	计算机
19	18	操作系统	计算机
20	19	数据结构(下)	计算机
21	20	逻辑学概论	数学
22	21	线性代数	数学
23	22	程序设计基础	计算机
24	23	汇编语言程序设计	计算机
25	24	分布式存储与资源管理	计算机
26	25	大数据系统基础	计算机
27	26	网络技术与应用	计算机
28	27	计算机科学101	计算机
29	28	微纳加工技术	电子 工程
30	29	数字电子技术基础	电子 工程
31	30	C++语言程序设计进阶	计算机
32	31	葡萄酒的世界：从葡萄到美酒	医学·健康 其他
33	32	量子力学（上）	物理
34	33	金融体系概览（微慕课）	经管·会计
35	34	线性系统理论	电子 工程
36	35	小波与科学(自主模式）	数学
37	36	电子信息科学与技术导引(1)	电子 物理
38	37	统计信号处理	工程
39	38	MEMS与微系统	电子
40	39	奇异的仿生学	生命科学
41	40	创新材料学	电子 工程
42	41	数据结构-算法基础（微慕课）	计算机
43	42	计算思维和数据科学导论	计算机
44	43	理论力学	工程 物理
45	44	经济学	经管·会计
46	45	2014年清华大学研究生学位论文答辩（二）	其他 教育
47	46	软件工程	计算机
48	47	C++语言程序设计	计算机
49	48	有限元分析及应用	工程
50	49	大数据科学与应用系列讲座	计算机
51	50	《周易》《周礼》与故宫北京城（微慕课）	文学 历史
52	51	流计算、内存计算与分布式机器学习平台（微慕课）	计算机
53	52	高级大数据系统	计算机
54	53	数据挖掘：理论与算法	计算机
55	54	Petri网：模型、理论与应用	计算机
56	55	Web开发技术	计算机
57	56	心理正能量ACE（微慕课）	教育
58	57	中国房地产发展之路	创业 经管·会计
59	58	社会心理学	社科·法律
60	60	全面从严治党与党的建设科学化	社科·法律
61	61	讲规矩 成方圆	社科·法律
62	62	创客培养：趣味力学实验与制作	工程 物理
63	63	智能车制作：电子技术	电子
64	64	材料学概论	工程
65	65	模拟电子技术应用	电子 计算机
66	66	电路原理	电子
67	67	高级数据库系统	计算机
68	68	日常思考的科学	社科·法律
69	69	西游记	文学
70	70	运筹学	数学
71	71	微软人工智能 – 深度学习框架和工具	计算机
72	72	概率论与数理统计	数学
73	73	组合数学	数学
74	75	清华风物	教育
75	76	内部控制与风险管理	经管·会计
76	77	高山滑雪入门	医学·健康 其他
77	78	货币金融学	经管·会计
78	83	《共产党宣言》导读	社科·法律
79	84	适老居住空间与环境设计	艺术·设计 建筑 其他
80	85	居住地产（微慕课）	经管·会计
81	86	高等化工热力学（上）	工程 化学
82	87	有机化学	化学
83	88	化工单元过程与操作	化学
84	89	宝玉石概论	工程 艺术·设计
85	90	中医养生方法学	医学·健康
86	91	摄影构图（微慕课）	教育
87	92	信息素养-学术研究的必修课	其他 教育
88	93	教＆学微辞典	教育
89	94	人体的运动与损伤人体的运动功能(微慕课)	医学·健康
90	95	实现祖国完全统一的理论（微慕课）	社科·法律 哲学
91	96	学会学：学习之道	教育
92	97	计算机操作系统	计算机
93	98	基于Linux的C++	计算机
94	99	导弹总体设计导论	工程
95	100	金融衍生品	经管·会计
96	101	投资学	经管·会计
97	103	大学国文（上）	文学
98	104	绿色建筑与可持续发展	社科·法律 环境·地球
99	105	经典与思考——人文清华大师面对面	社科·法律
100	106	清代建筑概说（微慕课）	历史 建筑
101	107	财务管理	创业 经管·会计
102	108	高职实用综合英语	外语
103	109	LabVIEW 基础课程	电子
104	110	测试与检测技术基础	工程
105	111	控制工程基础	工程
106	112	数字集成电路分析与设计	电子 工程
107	113	西方哲学精神探源	哲学
108	114	自动控制元件	工程
109	115	科学计算与MATLAB语言	计算机
110	116	教育社会学	社科·法律 哲学
111	117	现代生物学导论	生命科学
112	118	对外汉语	外语 教育
113	119	电工技术	工程
114	120	数字信号分析理论与实践	工程 计算机
115	121	微积分B(1)	数学
116	122	工程制图	电子 工程
117	123	通信原理	电子 工程
118	124	卡通说解数字电子技术	电子 工程
119	125	数字电子技术	数学
120	126	歌唱启蒙与表演教你成为歌唱达人	艺术·设计
121	127	电子商务	经管·会计
122	128	数据结构	计算机
123	129	微积分B(2)	数学
124	130	Linux系统管理	计算机
125	131	VC++面向对象与可视化程序设计（上）：Windows编程基础	计算机
126	132	Office办公软件应用	计算机
127	135	越王勾践剑与吴越地区的冶铸技术（微慕课）	历史
128	136	VC++面向对象与可视化程序设计（下）：MFC编程基础	计算机
129	137	JAVA程序设计	计算机
130	138	清华院系概览	其他 教育
131	139	公共危机管理	公共管理
132	140	《资治通鉴》导读	文学 历史
133	141	研究生学术与职业素养讲座	其他
134	142	2015年清华大学研究生学位论文答辩（二）	其他 教育
135	143	高山滑雪	其他
136	144	微软--计算机视觉论文分享课	计算机
137	145	2016年清华大学研究生学位论文答辩（一）	其他
138	146	基于R语言的社会统计分析	社科·法律
139	147	法学高级入门	社科·法律
140	148	面向对象程序设计（C++）	计算机
141	149	光学	物理
142	150	弟子规	历史
143	151	青少年创客与全球名校申请	创业
144	152	英美音乐与文化	外语 社科·法律
145	153	生活中的市场营销学	经管·会计
146	154	金融工程	经管·会计
147	155	国际贸易学	经管·会计
148	156	经济地理与企业兴衰	经管·会计
149	157	互联网金融	经管·会计
150	158	图说人际关系心理	社科·法律
151	159	国际名酒知识与品鉴	艺术·设计
152	160	科学写作	外语 教育
153	161	数字图片后期(微慕课)	教育
154	162	水处理工程-生化技术	工程
155	163	环境生态学	环境·地球
156	164	AP备考环境科学第一部分	环境·地球
157	165	电工电子学（下）	电子 工程
158	166	信号与系统分析	工程
159	167	微机原理与接口技术	计算机
160	168	计算机网络	计算机
161	169	大数据平台核心技术	计算机
162	170	中国古代礼义文明（上）	历史
163	171	应用信息论基础	计算机
164	172	生活英语读写	外语
165	173	工程应用数学基础	工程 数学
166	174	人工智能	计算机
167	175	大学计算机教程	计算机
168	176	数学实验	数学
169	177	智能车制作：嵌入式系统	电子
170	178	计算机程序设计基础	计算机
171	179	吴参谋消防大讲堂	社科·法律 其他
172	180	十面霾伏空气污染与肺疾患(微慕课)	医学·健康
173	181	日语——自游自在日本行	外语
174	182	古典文学的城市书写	文学
175	183	明朝心学的智慧发展史：王阳明带你打土匪	哲学 历史
176	184	国学入门	文学
177	185	高等数学	数学
178	186	大气污染控制工程	工程
179	187	美国政治概论	社科·法律
180	188	职业探索与选择	职场 其他
181	189	国际金融	经管·会计
182	190	Financial Risk Management	经管·会计
183	191	运营概论（微慕课）	工程 经管·会计
184	192	项目管理导论(微慕课)	工程 经管·会计
185	193	大学应该怎么学？（微慕课）	历史
186	194	什么是经济学(微慕课)	经管·会计
187	195	花之道（微慕课）	艺术·设计
188	196	期货市场的运作机制(微慕课)	经管·会计
189	197	李清照词鉴赏(微慕课)	文学
190	198	插花造型（微慕课）	艺术·设计
191	199	隋唐建筑概说（微慕课）	历史 建筑
192	200	工程伦理	工程 哲学
193	201	图案色调(微慕课)	艺术·设计
194	202	美是旺盛的生命力（微慕课）	艺术·设计 哲学
195	203	水处理工程-物化技术	工程
196	204	2017第四届全国虚拟仪器大赛赛前培训	教育
197	205	古希腊爱情观探源（微慕课）	哲学
198	206	光电仪器设计	物理
199	207	水力学	工程
200	208	模拟电子技术基础	电子
201	209	电路分析基础	电子
202	214	思想道德修养和法律基础	社科·法律
203	215	生活、艺术与时尚：中国服饰七千年	艺术·设计
204	216	地下水文学（水文学原理及应用（2））	环境·地球
205	217	集成传感器	工程 化学
206	218	图案审美与创作	艺术·设计
207	219	现代生活美学	艺术·设计
208	220	源远流长的中国教育传统（微慕课）	历史
209	221	大学历史与文化	历史
210	222	混合式学习	社科·法律
211	223	商务礼仪	经管·会计 其他
212	224	危机决策与领导力（微慕课）	公共管理 经管·会计
213	225	组织行为学——如何有效管理员工行为	经管·会计
214	226	金融分析方法	经管·会计
215	227	音乐与健康	社科·法律 艺术·设计 其他
216	228	教学的奥妙	教育
217	229	大学物理1 (力学、热学)	物理
218	230	中国近现代史纲要	社科·法律 历史
219	231	我国周边14个陆地邻国基本情况介绍	社科·法律 历史 其他
220	232	软件设计模式	计算机
221	233	软件工程与软件自动化	计算机
